LONGITUDE,LATITUDE,res,faults,dem,mag,grav,geol,deposit
136.2633887,-33.2199164,2.0766,0.29244697947799964,191.73435974121094,-437.9059143066406,-6.8651628494262695,Cleve Domain,1
139.1954883,-33.3072705,2.1011,0.058016473353312066,365.4496154785156,-256.39068603515625,-3.8350419998168945,Crustal element Adelaide,1
139.2700712,-33.3097965,2.0777,0.09178513238372518,255.06198120117188,-166.58297729492188,-6.015357971191406,Crustal element Adelaide,1
139.2358022,-33.3394735,2.0475,0.08757598050839932,241.60275268554688,-195.9317169189453,-4.331377029418945,Crustal element Adelaide,1
136.7867076,-33.5890974,2.6318,0.5089782746635426,324.5096435546875,-228.52476501464844,3.217794895172119,Cleve Domain,1
136.3179677,-33.4669194,2.0212,0.05638391506761739,245.782470703125,2554.44482421875,1.811100959777832,Cleve Domain,1
136.3237477,-33.4719984,2.0212,0.05639620695021228,245.782470703125,2554.44482421875,1.811100959777832,Cleve Domain,1
136.2967837,-33.3956234,2.0212,0.11677734597545351,207.8764190673828,-543.7031860351562,-1.6081873178482056,Cleve Domain,1
139.2150332,-33.2910455,2.1011,0.07605736715387658,313.0804443359375,-218.28721618652344,-4.585856914520264,Crustal element Adelaide,1
139.2820972,-33.4073265,2.0475,0.05497041049318134,204.02261352539062,-203.72760009765625,-2.5575878620147705,Crustal element Adelaide,1
139.1919112,-33.3564775,2.0759,0.04405637836019448,264.65240478515625,-272.11859130859375,-3.7502384185791016,Crustal element Adelaide,1
136.8417886,-33.5132674,2.4625,0.5581363796085067,227.9931640625,-230.2332000732422,2.295753002166748,Cleve Domain,1
139.2597802,-33.3660725,2.0475,0.08022775211743775,249.24688720703125,-174.80862426757812,-3.993273973464966,Crustal element Adelaide,1
137.1332316,-33.1845774,3.5625,0.6527255169381168,302.6812438964844,10621.951171875,-10.918259620666504,Cleve Domain,1
136.8542496,-33.4210994,2.4486,0.5777369772026,172.80816650390625,-238.47586059570312,-3.9567854404449463,Cleve Domain,1
